name,family,provenance,rebal,ic_1,icir_1,ic_5,ic_20,ic_base,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
mom_vadj_28,momentum,Jansen ML4T,5,-0.01094366899168385,-1.661166919203411,-0.0008626363379651659,0.022065529834525005,-0.0008626363379651659,0.022065529834525005,1935,0.8042180282697093,"[2.174920615615498, -0.0018025891960910458, 0.9800741110356584, -0.8463168328992835]",0.9534776369009779,0.1505549159979464,0.02152683843311045,False,REJECTED,failed FDR,,,,False
tsrank_close_126,tsrank,Qlib Alpha158,5,-0.008424667407371605,-1.1843814300684965,0.016047392486909198,0.04202589906181119,0.016047392486909198,0.04202589906181119,1838,0.7484132109300652,"[1.9719690665658156, -0.1626652516217789, 0.32863233276043974, 0.29583885043707736]",0.3141945209744452,0.12134540944883021,0.019290668263529775,False,REJECTED,failed FDR,,,,False
tsrank_close_63,tsrank,Qlib Alpha158,1,-0.0112573508929124,-1.6590983100357217,0.004899879959765345,0.029203986604215217,-0.0112573508929124,0.004899879959765345,1901,0.7305163531319575,"[2.3341048613467006, 0.05251001379649341, -0.14290183957371275, -0.360564542846097]",0.09709598377133588,0.11235756291218696,0.021066406434270973,False,REJECTED,failed FDR,,,,False
px_over_ma_63,trendvalue,in-repo alphas.py,1,-0.017052363904358707,-2.1614666480519356,-0.0016551302915161362,0.01774834498659597,-0.017052363904358707,-0.0016551302915161362,1901,0.7244821746637056,"[1.5435203222724028, -0.05433410588279618, 1.1191850329241884, -0.1642225242153071]",0.030659310591338418,0.10950778176073928,0.024348778253810873,True,REJECTED,negative OOS fold,,,,False
tsrank_close_63,tsrank,Qlib Alpha158,5,-0.0112573508929124,-1.6590983100357217,0.004899879959765345,0.029203986604215217,0.004899879959765345,0.029203986604215217,1901,0.7156751142527121,"[1.746049084911719, 0.34171771611829704, 0.12608067090147554, 0.00621832701066905]",0.7453204502504052,0.10746604206432209,0.02018361635407483,False,REJECTED,failed FDR,,,,False
kbar_body_1,kbar,Qlib Alpha158,20,-0.007565849340920188,-1.229225820318951,-0.006015836180575082,0.01351271239870066,0.01351271239870066,,1963,0.7147319094097647,"[1.221891747097674, -0.16427083712506324, 0.7365734934233358, 0.49877898281322225]",0.6094107615700706,0.104478723808628,0.019909889307826223,False,REJECTED,failed FDR,,,,False
macd_gap,oscillator,Jansen ML4T,1,-0.012204533823436085,-1.5668258212024944,0.006742246437364759,0.02212122909068282,-0.012204533823436085,0.006742246437364759,1962,0.6942007701478714,"[1.608913283042913, -0.03458931670050892, 0.9034349106388002, -0.4000018811161537]",0.11715541013196606,0.09867792677785281,0.025577381425051997,False,REJECTED,failed FDR,,,,False
mom_vadj_126,momentum,Jansen ML4T,20,-0.001133240544667335,-0.15267448448788112,0.014488964258417695,0.03481097111054395,0.03481097111054395,,1837,0.6919115290505508,"[0.8992181884961674, 0.13226265447863422, 1.7920611927993513, 0.12634243623114289]",0.2789813560342278,0.09809971712649274,0.019293194148667765,False,REJECTED,failed FDR,,,,False
mom_vadj_21,momentum,Jansen ML4T,1,-0.014112338630963079,-2.1622704700944233,-0.0033565553998345632,0.017052549513510637,-0.014112338630963079,-0.0033565553998345632,1942,0.5900297448900869,"[0.9996408120021472, -0.11037850229388917, 1.078161593346967, -0.09989741555125665]",0.03059733449192481,0.08654319467535276,0.022498542749395486,True,REJECTED,negative OOS fold,,,,False
mom_vadj_63,momentum,Jansen ML4T,1,-0.00932793755119711,-1.34595691856945,0.004116303712775625,0.016087613742009357,-0.00932793755119711,0.004116303712775625,1900,0.6613368523241436,"[1.2492025810517302, -0.6677114716091215, 1.389639793097586, 0.012749067746890315]",0.1783164107851063,0.08641943941396935,0.020334874026790906,False,REJECTED,failed FDR,,,,False
mom_42,momentum,Qlib Alpha158,5,-0.012556981767096522,-1.5883642556983566,-0.00572050472461172,0.004661915563132424,-0.00572050472461172,0.004661915563132424,1921,0.6304362139365758,"[1.2316145657124777, 0.3950631807948898, 1.048663428154798, -0.4245063624199211]",0.7445752608886909,0.07650367227273208,0.024192795595838514,False,REJECTED,failed FDR,,,,False
macd_gap,oscillator,Jansen ML4T,5,-0.012204533823436085,-1.5668258212024944,0.006742246437364759,0.02212122909068282,0.006742246437364759,0.02212122909068282,1962,0.6253457934323063,"[1.5283807583326239, -0.2688001537996836, 0.9712950616946102, -0.43238648870373797]",0.6978220796574313,0.07358850305224551,0.02469948080011995,False,REJECTED,failed FDR,,,,False
mom_vadj_42,momentum,Jansen ML4T,1,-0.009617811799630251,-1.412725260881194,-0.003859088633280536,0.014275935942378665,-0.009617811799630251,-0.003859088633280536,1921,0.6114536722202499,"[1.3552998414002533, 0.25833643466292455, 0.67972343416201, -0.27649893182758367]",0.15773652113272063,0.06771873516462801,0.021679139043018297,False,REJECTED,failed FDR,,,,False
px_over_ma_63,trendvalue,in-repo alphas.py,5,-0.017052363904358707,-2.1614666480519356,-0.0016551302915161362,0.01774834498659597,-0.0016551302915161362,0.01774834498659597,1901,0.6026581733326309,"[1.3399047084751177, 0.4064031273181319, 0.5974907935363731, -0.34068903495024533]",0.9255958379125702,0.06707776614175742,0.02383938840098478,False,REJECTED,failed FDR,,,,False
kbar_body_21,kbar,Qlib Alpha158,5,-0.00029743347972348245,-0.04535779070910425,0.018871436124203562,0.06040944262544634,0.018871436124203562,0.06040944262544634,1943,0.5052318176266747,"[0.8870392042968471, -0.3268945097961284, 0.7752577631369973, 0.08556497563769358]",0.18478010141483292,0.0600040183519473,0.021113354133934788,False,REJECTED,failed FDR,,,,False
macd_gap,oscillator,Jansen ML4T,20,-0.012204533823436085,-1.5668258212024944,0.006742246437364759,0.02212122909068282,0.02212122909068282,,1962,0.5775523666300066,"[2.5040205807424734, -0.06636856855105787, 0.11066693943249657, -0.9326555892525209]",0.5190129804289705,0.059075180216740464,0.0228352562681034,False,REJECTED,failed FDR,,,,False
kbar_closepos_21,kbar,Qlib Alpha158,1,0.013782409117039757,2.2639783854200357,0.0270901242044614,0.04808244702152984,0.013782409117039757,0.0270901242044614,1943,0.5672140533705923,"[1.0639312338648834, -0.13923814310487231, 0.685437050284872, 0.15625467549269517]",0.02357544421178992,0.053453082090734405,0.01912958835307226,True,REJECTED,negative OOS fold,,,,False
px_over_ma_10,trendvalue,in-repo alphas.py,20,-0.03694203506578525,-4.8775438026212905,-0.01942545891041447,0.01756892276785305,0.01756892276785305,,1954,0.5495644077502635,"[1.7770432367377214, -0.40175844463862115, 0.17934198360216955, -0.34331405471501636]",0.6062131062579748,0.050752728357659316,0.02323486290391328,False,REJECTED,failed FDR,,,,False
mom_252,momentum,Qlib Alpha158,5,0.013291901978076321,1.5923681055899903,0.03594652649363171,0.07178011343645854,0.03594652649363171,0.07178011343645854,1711,0.5203472383718749,"[1.2328914944409401, -0.28496060148871755, 0.21565313449394935, 0.9114473699813058]",0.049578550158099643,0.04770257827269542,0.01796238436436279,False,REJECTED,failed FDR,,,,False
lowbeta_63,beta,Jansen ML4T,5,0.039413158412397675,3.984882469474426,0.07811706313474627,0.13495810710437775,0.07811706313474627,0.13495810710437775,1901,0.5317715205875418,"[1.4259346009765566, 0.48539380236252505, -1.171164906314608, 0.9728443343453487]",0.0003360427236658303,0.047442590485122116,0.0281760711946581,True,REJECTED,negative OOS fold,,,,False
mom_vadj_126,momentum,Jansen ML4T,5,-0.001133240544667335,-0.15267448448788112,0.014488964258417695,0.03481097111054395,0.014488964258417695,0.03481097111054395,1837,0.5299962926865298,"[0.5731341243918474, -0.24422650742163302, 1.749467932540247, -0.01421079398335746]",0.38865502303271104,0.04659341369632908,0.01954722750191193,False,REJECTED,failed FDR,,,,False
tsrank_close_126,tsrank,Qlib Alpha158,1,-0.008424667407371605,-1.1843814300684965,0.016047392486909198,0.04202589906181119,-0.008424667407371605,0.016047392486909198,1838,0.5282839811049451,"[1.903898862337604, -0.780795794379306, 0.4771178695993202, -0.10348592217548806]",0.23626210773172884,0.04658818939393672,0.019237385433575345,False,REJECTED,failed FDR,,,,False
mom_42,momentum,Qlib Alpha158,1,-0.012556981767096522,-1.5883642556983566,-0.00572050472461172,0.004661915563132424,-0.012556981767096522,-0.00572050472461172,1921,0.5202331796098086,"[1.3222985413246968, 0.07529628599744129, 1.27131987117208, -1.0283246994586732]",0.11220399529483416,0.04447593535209582,0.024962618299367214,False,REJECTED,failed FDR,,,,False
mom_126,momentum,Qlib Alpha158,5,0.005662502462597292,0.679636530323806,0.021477964831630603,0.034424072390386876,0.021477964831630603,0.034424072390386876,1837,0.5011558109250459,"[1.01321648289456, -0.5086745315985286, 1.4453945160298058, 0.06184709514418733]",0.2637147182374757,0.04100981701091844,0.02140301561643735,False,REJECTED,failed FDR,,,,False
px_over_ma_21,trendvalue,in-repo alphas.py,20,-0.02817452675456634,-3.7218946734939853,-0.0038407306005963674,0.02382761057604233,0.02382761057604233,,1943,0.4292074288525378,"[0.8911634100285957, 0.22558298325387738, 0.6834940583032725, -0.6611083820705628]",0.4860216010713483,0.03992454197826706,0.0233450508161849,False,REJECTED,failed FDR,,,,False
pvcorr_63,volume,Qlib Alpha158,20,-0.028370532356646862,-4.602090997161888,-0.03747356414548535,-0.051744941427188954,-0.051744941427188954,,1901,0.49918653897498516,"[2.22488816440623, -0.6046668770276016, 0.2924259243413547, -0.7515378242861486]",0.06920586003766527,0.03899180259327223,0.017492845798303507,False,REJECTED,failed FDR,,,,False
mom_vadj_21,momentum,Jansen ML4T,20,-0.014112338630963079,-2.1622704700944233,-0.0033565553998345632,0.017052549513510637,0.017052549513510637,,1942,0.48834985150237653,"[2.2449070068673422, -0.01465991184676205, 0.16320953939732075, -1.0802197424099313]",0.5588366570449881,0.03820523610767462,0.019664542020137808,False,REJECTED,failed FDR,,,,False
mom_126,momentum,Qlib Alpha158,20,0.005662502462597292,0.679636530323806,0.021477964831630603,0.034424072390386876,0.034424072390386876,,1837,0.47975240181492645,"[0.9643055103599238, -0.10660197959872882, 1.0337353916436793, 0.14824842660825616]",0.3374003000528356,0.03775066965723228,0.021153594579500442,False,REJECTED,failed FDR,,,,False
lowbeta_63,beta,Jansen ML4T,20,0.039413158412397675,3.984882469474426,0.07811706313474627,0.13495810710437775,0.13495810710437775,,1901,0.4832879614671053,"[1.2888446987180908, 0.400582762886523, -1.2872275563727507, 1.193239637534226]",0.0012368365613195653,0.03722820048563846,0.02712505437019327,True,REJECTED,negative OOS fold,,,,False
mom_21,momentum,Qlib Alpha158,1,-0.019472016492162923,-2.5403030884848348,-0.005632124804684909,0.014671423859195933,-0.019472016492162923,-0.005632124804684909,1942,0.42120051709991224,"[0.8182870023529966, -0.3632071436284781, 0.849648889722772, -0.1918809953307053]",0.011075644145666086,0.03721595438841174,0.025538595335289797,True,REJECTED,negative OOS fold,,,,False
px_over_ma_63,trendvalue,in-repo alphas.py,20,-0.017052363904358707,-2.1614666480519356,-0.0016551302915161362,0.01774834498659597,0.01774834498659597,,1901,0.4770710251628892,"[1.81232713757896, -0.18841150875664045, 0.3708443215269996, -0.44640280528961246]",0.6147007063592542,0.03709410197596874,0.0220284211588992,False,REJECTED,failed FDR,,,,False
anchorcorr_63,beta,Jansen ML4T,5,-0.03313127637502501,-5.202429448660669,-0.023877328829162974,-0.013494553266197178,-0.023877328829162974,-0.013494553266197178,1901,0.47499768848940355,"[2.194681985591216, -1.0108842376516887, -1.1378264981842932, 0.5804600207806071]",0.09785936588837618,0.03527145165143408,0.018556733451562883,False,REJECTED,failed FDR,,,,False
mom_vadj_63,momentum,Jansen ML4T,5,-0.00932793755119711,-1.34595691856945,0.004116303712775625,0.016087613742009357,0.004116303712775625,0.016087613742009357,1900,0.44102966959582934,"[1.0390364606871407, -1.104732239854991, 1.4329938720634086, -0.21602852112253626]",0.7945130288514393,0.031011657504955825,0.020587449180434387,False,REJECTED,failed FDR,,,,False
px_over_ma_200,trendvalue,in-repo alphas.py,5,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.025151359608585753,0.05066245750546874,1764,0.42021645836293353,"[0.5239561516858643, -0.5372778827915753, 1.4748074336072345, 0.1184326537286596]",0.20202550522388618,0.027576330730720633,0.020306059333043403,False,REJECTED,failed FDR,,,,False
base_trend_200,baseline,in-repo alphas.py,5,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.025151359608585753,0.05066245750546874,1764,0.42021645836293353,"[0.5239561516858643, -0.5372778827915753, 1.4748074336072345, 0.1184326537286596]",0.20202550522388618,0.027576330730720633,0.020306059333043403,False,REJECTED,failed FDR,,,,False
volz_63,volume,Qlib Alpha158,20,-0.038119509347376214,-6.518401279585198,-0.012563836293132393,0.009813516512597537,0.009813516512597537,,1901,0.420349227580564,"[1.712137106732283, -1.0173602807802478, -0.7409230070634331, 1.126574638694922]",0.7105704150952894,0.026933001805566792,0.017315212975306946,False,REJECTED,failed FDR,,,,False
pvcorr_63,volume,Qlib Alpha158,5,-0.028370532356646862,-4.602090997161888,-0.03747356414548535,-0.051744941427188954,-0.03747356414548535,-0.051744941427188954,1901,0.4281086675688693,"[1.8710462988818692, -0.2101793060463158, 0.6205957772074002, -1.2998300251193942]",0.005204017373258596,0.026923140701833936,0.01870377968059093,True,REJECTED,negative OOS fold,,,,False
mom_vadj_10,momentum,Jansen ML4T,1,-0.025577544259087735,-3.992213575280084,-0.011006133413580576,0.011379056902264793,-0.025577544259087735,-0.011006133413580576,1953,0.3374463666104162,"[0.9332434565322574, -0.40154710568138563, 0.08986595852163694, -0.09168654974746496]",6.54593753117716e-05,0.023842874600642494,0.02279065161172043,True,REJECTED,negative OOS fold,,,,False
spread_ols_63,pairs,Financial-Models notebooks (concept-mined),1,0.004061807551333025,0.6250409727338836,0.018566122488423143,0.013730997940982387,0.004061807551333025,0.018566122488423143,1839,0.39777461000689524,"[1.3342974234629228, -1.7274748152134152, 1.221438212512029, -0.004367785264532385]",0.5319441671376506,0.023685677673138394,0.017741241976004792,False,REJECTED,failed FDR,,,,False
mom_63,momentum,Qlib Alpha158,5,-0.007910285787742711,-0.9859745385093703,0.0013549223995160224,0.007573639733103841,0.0013549223995160224,0.007573639733103841,1900,0.39283502969635686,"[0.89585450166183, -0.7961182411166134, 1.2954112005596465, -0.15211134262359555]",0.9408243182996325,0.023620964699229807,0.02361363525237544,False,REJECTED,failed FDR,,,,False
mom_21,momentum,Qlib Alpha158,20,-0.019472016492162923,-2.5403030884848348,-0.005632124804684909,0.014671423859195933,0.014671423859195933,,1942,0.38311466393380333,"[1.4780705601124868, 0.17411163994200188, 0.6197967054997529, -0.962778305359845]",0.6658461211433975,0.022695448582815025,0.022341741420280073,False,REJECTED,failed FDR,,,,False
mom_252,momentum,Qlib Alpha158,20,0.013291901978076321,1.5923681055899903,0.03594652649363171,0.07178011343645854,0.07178011343645854,,1711,0.37656190967565434,"[0.45251979891668265, -0.4072416833684229, 0.26967070375758945, 0.9757391768442877]",0.05172163485802361,0.022370882622665345,0.01802870471637694,False,REJECTED,failed FDR,,,,False
mom_252,momentum,Qlib Alpha158,1,0.013291901978076321,1.5923681055899903,0.03594652649363171,0.07178011343645854,0.013291901978076321,0.03594652649363171,1711,0.3416907524023599,"[1.091218258177631, -0.6217499761505212, 0.30642543902535535, 0.5728739771002112]",0.11130201829136799,0.018325246506507853,0.017933612588990292,False,REJECTED,failed FDR,,,,False
spread_ols_63,pairs,Financial-Models notebooks (concept-mined),5,0.004061807551333025,0.6250409727338836,0.018566122488423143,0.013730997940982387,0.018566122488423143,0.013730997940982387,1839,0.34186731431244166,"[0.7124429984834584, -0.9553357284577698, 1.3209437095279275, -0.36778339610594024]",0.2216991958957295,0.017457245185591996,0.017640236632917704,False,REJECTED,failed FDR,,,,False
anchorcorr_63,beta,Jansen ML4T,20,-0.03313127637502501,-5.202429448660669,-0.023877328829162974,-0.013494553266197178,-0.013494553266197178,,1901,0.34134083078097477,"[2.20409214081369, -1.2976403834428287, -1.1356268656620174, 0.5867094082633146]",0.637939478382247,0.017001253798053284,0.01844502245648293,False,REJECTED,failed FDR,,,,False
anchorcorr_21,beta,Jansen ML4T,5,-0.0344095588502564,-5.619643356001803,-0.02264603305269295,-0.017875007662567444,-0.02264603305269295,-0.017875007662567444,1943,0.34071544583364227,"[1.8307159095376313, -1.524256166476681, -0.6995305899437615, 0.39301406074865985]",0.1071615375477073,0.016937707509665723,0.019250976041661625,False,REJECTED,failed FDR,,,,False
px_over_ma_21,trendvalue,in-repo alphas.py,1,-0.02817452675456634,-3.7218946734939853,-0.0038407306005963674,0.02382761057604233,-0.02817452675456634,-0.0038407306005963674,1943,0.28799130560722996,"[0.521348427596468, 0.015879318841547436, 1.070727411532882, -0.9140459851166948]",0.0001977335053244822,0.01686437123297113,0.025559714811066014,True,REJECTED,negative OOS fold,,,,False
anchorcorr_63,beta,Jansen ML4T,1,-0.03313127637502501,-5.202429448660669,-0.023877328829162974,-0.013494553266197178,-0.03313127637502501,-0.023877328829162974,1901,0.33663249304803755,"[2.014169435237057, -1.2882158175197835, -0.9735766457318377, 0.4470358137908572]",1.9670004158811594e-07,0.01644594364545665,0.018815276765697577,True,REJECTED,negative OOS fold,,,,False
lowbeta_63,beta,Jansen ML4T,1,0.039413158412397675,3.984882469474426,0.07811706313474627,0.13495810710437775,0.039413158412397675,0.07811706313474627,1901,0.3231493832671846,"[0.8600726719369273, 0.3862627668054788, -1.18358087012169, 0.9258974681625588]",6.751353327394405e-05,0.01570505844348502,0.028364596851702263,True,REJECTED,negative OOS fold,,,,False
px_over_ma_200,trendvalue,in-repo alphas.py,20,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.05066245750546874,,1764,0.3148635597817106,"[0.6376607012479729, -0.6502396467498442, 1.1908568619799456, 0.15050336606058404]",0.17166881997079408,0.015540842197270699,0.02071199208604569,False,REJECTED,failed FDR,,,,False
base_trend_200,baseline,in-repo alphas.py,20,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.05066245750546874,,1764,0.3148635597817106,"[0.6376607012479729, -0.6502396467498442, 1.1908568619799456, 0.15050336606058404]",0.17166881997079408,0.015540842197270699,0.02071199208604569,False,REJECTED,failed FDR,,,,False
kbar_body_21,kbar,Qlib Alpha158,1,-0.00029743347972348245,-0.04535779070910425,0.018871436124203562,0.06040944262544634,-0.00029743347972348245,0.018871436124203562,1943,0.2671970612622454,"[0.8423605680782531, -0.9635980516055871, 0.45116570182309235, -0.1804408445545138]",0.9638221244726874,0.015409366552438852,0.02208901342613513,False,REJECTED,failed FDR,,,,False
mom_126,momentum,Qlib Alpha158,1,0.005662502462597292,0.679636530323806,0.021477964831630603,0.034424072390386876,0.005662502462597292,0.021477964831630603,1837,0.3153687784433414,"[0.9646368802027366, -1.0976845395793322, 1.3919563669641324, -0.10454366864732721]",0.4967346331888227,0.015212811736511733,0.021475367602864743,False,REJECTED,failed FDR,,,,False
px_over_ma_21,trendvalue,in-repo alphas.py,5,-0.02817452675456634,-3.7218946734939853,-0.0038407306005963674,0.02382761057604233,-0.0038407306005963674,0.02382761057604233,1943,0.2593794951876798,"[0.16575384340309554, 0.1504844132280322, 1.0833811518382837, -0.38589179140141006]",0.8198692790322506,0.014289088547531525,0.02486180399911951,False,REJECTED,failed FDR,,,,False
mom_5,momentum,Qlib Alpha158,20,-0.04320857084671058,-5.629828085017622,-0.021581649563843674,0.009063531426122534,0.009063531426122534,,1958,0.30338309778907496,"[1.0692679244588388, -0.3766449666922138, 0.33906234286812653, -0.647191107327446]",0.789664182537593,0.013786364658592898,0.02314717993397383,False,REJECTED,failed FDR,,,,False
pvcorr_21,volume,Qlib Alpha158,5,-0.029631443380216105,-4.79850008757055,-0.042379502015795774,-0.05194111343168922,-0.042379502015795774,-0.05194111343168922,1943,0.3811962429424113,"[1.2274601373914527, -1.0212721061439882, 1.2400574254937091, -1.107219585712987]",0.0023915061137298466,0.013466602019747809,0.0203407033264274,True,REJECTED,negative OOS fold,,,,False
mom_63,momentum,Qlib Alpha158,1,-0.007910285787742711,-0.9859745385093703,0.0013549223995160224,0.007573639733103841,-0.007910285787742711,0.0013549223995160224,1900,0.29457332122488233,"[1.0930842183309886, -1.0855507284308974, 1.1734257936819628, -0.5550892293722817]",0.3241456073802762,0.013381998586342314,0.023627534915652032,False,REJECTED,failed FDR,,,,False
garchgap_21,volatility,Financial-Models notebooks (concept-mined),20,-0.005108247895246478,-0.8695359153133245,-0.007242758291592581,-0.006677235372786401,-0.006677235372786401,,1943,0.36665783969572563,"[0.17677342578789104, 1.765288546116922, 0.7798583451461977, -0.7476765092929817]",0.7931479098070979,0.012110556077022883,0.019171662520806546,False,REJECTED,failed FDR,,,,False
pvcorr_21,volume,Qlib Alpha158,1,-0.029631443380216105,-4.79850008757055,-0.042379502015795774,-0.05194111343168922,-0.029631443380216105,-0.042379502015795774,1943,0.2786087989737234,"[1.6037611520364623, -1.2954122010461766, 1.2329723797887342, -1.84034707690442]",1.5985823829112178e-06,0.011521229470561889,0.02086566865384623,True,REJECTED,negative OOS fold,,,,False
px_over_ma_200,trendvalue,in-repo alphas.py,1,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.0025044981447435418,0.025151359608585753,1764,0.26462196885439615,"[1.0410543055384778, -1.3291820376412333, 1.3380148814689925, -0.04270986029758697]",0.7731317019162347,0.011197307495704467,0.020626746282912996,False,REJECTED,failed FDR,,,,False
base_trend_200,baseline,in-repo alphas.py,1,0.0025044981447435418,0.2882809320338291,0.025151359608585753,0.05066245750546874,0.0025044981447435418,0.025151359608585753,1764,0.26462196885439615,"[1.0410543055384778, -1.3291820376412333, 1.3380148814689925, -0.04270986029758697]",0.7731317019162347,0.011197307495704467,0.020626746282912996,False,REJECTED,failed FDR,,,,False
kbar_closepos_1,kbar,Qlib Alpha158,20,-0.0010660243266518215,-0.17750949634863633,-0.001149409541156357,0.012334793729864315,0.012334793729864315,,1963,0.25057087964300123,"[-0.29501605698301175, 0.3186255776900485, 0.539206593131343, 0.4908606086492846]",0.62823070472304,0.009827089218049312,0.01921518775864299,False,REJECTED,failed FDR,,,,False
mom_vadj_126,momentum,Jansen ML4T,1,-0.001133240544667335,-0.15267448448788112,0.014488964258417695,0.03481097111054395,-0.001133240544667335,0.014488964258417695,1837,0.243127588541592,"[0.09164568314380224, -0.8807880636264931, 1.4407179375584482, 0.07179549909927202]",0.8786549832637953,0.009716510343044993,0.01947450492116571,False,REJECTED,failed FDR,,,,False
tsrank_close_21,tsrank,Qlib Alpha158,20,-0.014943758175874544,-2.3631872917026526,-0.0021688445615107577,0.013280496256027795,0.013280496256027795,,1943,0.23133581760911556,"[1.3813692912210958, -0.5889658163568211, -0.30578547217736596, -0.8096369336765925]",0.6424286826693553,0.009181294505537452,0.02002938292151064,False,REJECTED,failed FDR,,,,False
tsrank_close_63,tsrank,Qlib Alpha158,20,-0.0112573508929124,-1.6590983100357217,0.004899879959765345,0.029203986604215217,0.029203986604215217,,1901,0.22550302489246635,"[1.7466531949558075, -0.32376379292852653, -0.2852288823736504, -1.0126055086735288]",0.33632124884384806,0.00888775040297668,0.01869278367780543,False,REJECTED,failed FDR,,,,False
px_over_ma_126,trendvalue,in-repo alphas.py,1,-0.006287653918574639,-0.7595491654903901,0.011908214189512257,0.03864008976597226,-0.006287653918574639,0.011908214189512257,1838,0.21863442757928422,"[0.7160684633381754, -1.2751301522853635, 1.363470047288505, -0.27890763424776216]",0.44752411502754796,0.008438644880632173,0.022134934252313592,False,REJECTED,failed FDR,,,,False
lowbeta_21,beta,Jansen ML4T,5,0.030054877487795846,3.167806009991534,0.06236049182223516,0.11156425819350572,0.06236049182223516,0.11156425819350572,1943,0.21799617618677583,"[0.358140992014039, 0.364339008047057, -1.1288051334014522, 0.9835200922337882]",0.002702751383731661,0.0083033682339827,0.028147868804185412,True,REJECTED,negative OOS fold,,,,False
